ing_cor,gasto_mon
12.67615,14.41422
25.38534,25.41687
24.66928,16.45329
31.68195,17.09634
12.45243,9.1677
25.92293,12.35467
11.80987,5.72535
23.17511,26.20351
14.70511,12.43528
45.20523,12.67719
7.11573,8.34835
7.04752,13.16472
17.32029,8.23784
17.42897,17.35948
5.16391,2.93356
6.61956,5.50773
5.24061,6.39102
23.03438,12.60365
5.99756,6.43037
14.64235,18.08087
3.62768,5.44369
7.27798,11.4725
19.93623,6.36204
34.04482,11.59311
11.9534,10.67185
9.23519,6.48783
40.00794,30.35048
6.34993,6.24511
10.5641,11.99996
4.73899,15.73846
33.14653,14.43879
21.68091,5.66213
10.1752,22.08487
36.10728,27.19241
20.27014,25.2523
22.27865,17.28965
27.03621,20.69368
15.92899,10.38505
46.16065,29.32498
6.35111,4.70874
8.05282,4.98535
17.04017,9.87989
3.35041,3.58289
5.62316,6.08061
4.78985,4.52183
17.55523,18.00536
1461.65409,18.40134
1.97292,4.42904
6.41541,6.01058
4.70161,8.73692
24.31966,16.44005
9.77637,8.22527
93.24559,61.39596
22.39517,21.13276
6.70708,32.25759
4.08196,7.79969
19.40175,9.31134
17.38451,22.56667
24.77202,18.02892
15.89488,4.97081
9.7583,27.72161
15.19118,17.88773
6.91622,3.65273
25.6988,32.42662
12.20898,4.03407
4.05813,2.9079
13.18782,27.58859
9.47788,6.60038
5.68105,13.38731
8.01398,9.54708
13.28718,10.34553
