IPr,PIB,Rr,IPub
1298456.57,17404443.19,74.49,412803.86
1216717.45,16509264.26,31.30,274350.30
1225699.60,16821408.90,-2.96,279583.21
1318728.40,17246955.35,1.77,292676.38
1434898.15,17723311.53,-6.24,286363.76
1527749.89,17957434.26,-1.85,298783.62
1637072.32,18275459.76,-0.65,305289.67
1723116.06,18846781.16,2.15,320866.27
1665544.69,18879041.91,-1.51,347481.85
1796891.26,19442638.59,1.08,355997.25
1900162.76,19849749.58,1.24,343242.48
1948286.36,20368093.60,3.54,335917.64
2014617.64,20642991.58,5.35,313696.92
2079057.05,20897014.30,5.51,311548.08
2113214.89,21026363.28,14.29,318216.52
2140112.10,21129085.93,18.82,308040.88
2181106.41,21352352.73,13.02,340620.37
2168629.31,21438184.26,5.01,330389.50
2171449.01,21751717.37,5.94,348126.58
2182616.61,21937996.27,5.75,392079.67
2228063.77,22534750.55,6.94,429354.55
2231778.80,22901888.53,6.49,459162.59
2209065.62,23067045.77,7.15,472474.55
2207149.61,22832907.70,9.22,425479.08
2095575.75,22817480.38,10.55,412138.84
1990138.00,22642249.29,7.15,430888.77
2067033.33,22555659.56,4.46,415061.96
1954191.53,22417729.00,3.83,499604.40
1901332.15,22425542.72,3.73,494408.82
1870890.07,22574735.32,2.89,528654.70
1892949.77,22773175.92,2.86,543221.29
1865453.15,22846594.02,3.08,559228.04
1859779.23,22779196.00,4.23,594668.78
1890015.24,22871203.22,2.02,562399.89
1891642.50,22896917.60,1.04,535792.78
1887561.08,23151583.36,1.81,547289.62
2017737.33,23398310.15,1.56,540026.56
2055117.20,23750608.27,2.42,564544.37
1992300.05,23879164.30,2.67,600733.96
2071831.96,24051319.94,3.19,597108.94
2115047.53,24223076.29,5.01,617072.81
2098612.17,24196316.42,5.54,621065.45
2137603.21,24509285.35,5.90,627255.87
2206997.38,24997449.93,6.00,656577.88
2271377.77,25436897.07,4.32,660176.36
2358736.19,25828656.00,4.26,661927.10
2387062.01,25925550.86,3.77,681205.74
2419190.22,25974034.69,3.17,679200.87
2399277.82,26294568.86,3.34,666811.50
2457988.56,26462222.83,3.65,677582.00
2533265.62,26502012.26,3.72,701035.52
2639471.41,26560517.36,4.05,747868.13
2605101.30,26568985.50,4.04,812327.33
2610099.03,26717163.43,3.04,845688.18
2576196.70,26676113.72,3.02,876190.84
2486559.35,26152526.99,2.54,857202.80
2090178.80,24548781.03,1.82,916996.88
2122457.49,24282592.65,-0.06,899046.99
2212531.58,25029015.67,-0.23,820135.66
2257922.54,25593056.93,0.95,776392.00
2333044.71,25958540.57,0.16,806023.25
2318062.70,26218134.62,0.98,835639.79
2292253.36,26356154.72,1.23,839814.47
2336749.12,26438847.64,0.63,864856.08
2415389.37,26631342.73,1.38,808052.97
2593833.41,26865867.81,1.55,795242.10
2651358.86,27261888.19,1.43,806639.46
2780085.49,27564774.42,1.30,778535.29
2809355.31,27747709.78,0.90,721963.09
2849715.84,28046615.77,0.89,739624.67
2890127.25,28090378.71,0.20,730780.35
2835569.83,28242403.27,0.72,724891.61
2837796.20,28223329.51,1.03,710437.95
2725231.60,28147511.29,-0.14,718184.03
2674436.98,28314791.08,0.80,720519.23
2717431.07,28458794.48,0.20,722649.16
2744099.85,28678129.00,-0.37,726855.02
2869258.88,29212231.33,0.09,706038.52
2814191.43,29156404.09,-0.85,704266.97
2994660.99,29491093.59,-0.89,678304.77
2973725.56,29632306.75,0.23,654255.72
3094071.18,29889778.04,0.36,637799.40
3196863.44,30190996.65,0.70,643530.45
3143217.27,30252357.89,1.08,583978.65
3138390.61,30344218.01,1.10,646070.90
3105642.19,30338586.92,1.52,624403.25
3131029.73,30510305.23,1.80,607251.81
3188870.14,30896467.33,2.19,612928.54
3137030.70,31149862.72,1.42,577599.54
3160520.82,31299165.99,0.92,547571.25
3195843.56,30977498.58,0.89,530300.59
3194427.87,31378891.02,0.83,540172.53
3273567.42,31628805.84,2.44,558718.72
3244835.26,31703803.78,3.30,554326.41
3216686.75,31744316.23,3.20,539890.08
3114313.06,31733681.17,3.44,517165.40
3245538.30,31822321.99,4.45,490992.36
3120654.31,31844888.67,4.29,478933.67
3039354.97,31742477.81,5.04,478841.77
3010264.41,31417377.89,4.92,459640.78
2939523.11,31093121.54,3.94,455424.15
1965543.16,24955437.87,3.29,434067.55
2468108.14,28945574.87,1.08,418159.69
