Con,I_d,Y_d,r_r_d
6239104.23,1298456.57,17404443.19,74.49
6060249.21,1216717.45,16509264.26,31.30
6115969.31,1225699.60,16821408.90,-2.96
6190067.33,1318728.40,17246955.35,1.77
6286210.09,1434898.15,17723311.53,-6.24
6283052.22,1527749.89,17957434.26,-1.85
6402804.14,1637072.32,18275459.76,-0.65
6547405.58,1723116.06,18846781.16,2.15
6650795.44,1665544.69,18879041.91,-1.51
6760288.39,1796891.26,19442638.59,1.08
6843859.15,1900162.76,19849749.58,1.24
6984765.32,1948286.36,20368093.60,3.54
7094421.95,2014617.64,20642991.58,5.35
7169589.48,2079057.05,20897014.30,5.51
7250104.09,2113214.89,21026363.28,14.29
7304446.72,2140112.10,21129085.93,18.82
7380758.65,2181106.41,21352352.73,13.02
7434674.85,2168629.31,21438184.26,5.01
7582558.89,2171449.01,21751717.37,5.94
7652679.00,2182616.61,21937996.27,5.75
7774206.95,2228063.77,22534750.55,6.94
7869113.98,2231778.80,22901888.53,6.49
7972720.56,2209065.62,23067045.77,7.15
8002059.65,2207149.61,22832907.70,9.22
8019037.82,2095575.75,22817480.38,10.55
8038608.70,1990138.00,22642249.29,7.15
8046435.31,2067033.33,22555659.56,4.46
8080220.22,1954191.53,22417729.00,3.83
8089826.39,1901332.15,22425542.72,3.73
8155346.81,1870890.07,22574735.32,2.89
8183304.57,1892949.77,22773175.92,2.86
8173582.97,1865453.15,22846594.02,3.08
8227211.81,1859779.23,22779196.00,4.23
8249480.43,1890015.24,22871203.22,2.02
8298056.45,1891642.50,22896917.60,1.04
8439402.18,1887561.08,23151583.36,1.81
8497798.87,2017737.33,23398310.15,1.56
8597799.88,2055117.20,23750608.27,2.42
8701120.39,1992300.05,23879164.30,2.67
8796289.22,2071831.96,24051319.94,3.19
8804363.68,2115047.53,24223076.29,5.01
8783672.90,2098612.17,24196316.42,5.54
8876231.94,2137603.21,24509285.35,5.90
8878282.38,2206997.38,24997449.93,6.00
9033720.86,2271377.77,25436897.07,4.32
9161772.26,2358736.19,25828656.00,4.26
9140756.62,2387062.01,25925550.86,3.77
9167832.72,2419190.22,25974034.69,3.17
9312571.99,2399277.82,26294568.86,3.34
9386101.61,2457988.56,26462222.83,3.65
9358055.79,2533265.62,26502012.26,3.72
9335485.39,2639471.41,26560517.36,4.05
9433288.66,2605101.30,26568985.50,4.04
9562067.70,2610099.03,26717163.43,3.04
9456350.74,2576196.70,26676113.72,3.02
9215115.22,2486559.35,26152526.99,2.54
8927114.27,2090178.80,24548781.03,1.82
8778242.48,2122457.49,24282592.65,-0.06
9010330.41,2212531.58,25029015.67,-0.23
9187590.71,2257922.54,25593056.93,0.95
9085140.27,2333044.71,25958540.57,0.16
9187705.37,2318062.70,26218134.62,0.98
9234661.19,2292253.36,26356154.72,1.23
9351616.73,2336749.12,26438847.64,0.63
9321976.77,2415389.37,26631342.73,1.38
9447462.79,2593833.41,26865867.81,1.55
9578097.26,2651358.86,27261888.19,1.43
9619747.18,2780085.49,27564774.42,1.30
9656176.87,2809355.31,27747709.78,0.90
9645900.04,2849715.84,28046615.77,0.89
9676797.06,2890127.25,28090378.71,0.20
9676297.42,2835569.83,28242403.27,0.72
9764807.47,2837796.20,28223329.51,1.03
9696015.03,2725231.60,28147511.29,-0.14
9750683.47,2674436.98,28314791.08,0.80
9820618.64,2717431.07,28458794.48,0.20
9856733.87,2744099.85,28678129.00,-0.37
9999153.82,2869258.88,29212231.33,0.09
9993201.02,2814191.43,29156404.09,-0.85
10052732.09,2994660.99,29491093.59,-0.89
10136090.11,2973725.56,29632306.75,0.23
10154184.66,3094071.18,29889778.04,0.36
10276813.04,3196863.44,30190996.65,0.70
10415408.52,3143217.27,30252357.89,1.08
10542563.78,3138390.61,30344218.01,1.10
10596798.59,3105642.19,30338586.92,1.52
10756060.58,3131029.73,30510305.23,1.80
10959882.99,3188870.14,30896467.33,2.19
10999780.37,3137030.70,31149862.72,1.42
11006685.00,3160520.82,31299165.99,0.92
11033311.59,3195843.56,30977498.58,0.89
11106800.40,3194427.87,31378891.02,0.83
11280567.99,3273567.42,31628805.84,2.44
11300698.82,3244835.26,31703803.78,3.30
11340988.25,3216686.75,31744316.23,3.20
11298703.27,3114313.06,31733681.17,3.44
11375492.63,3245538.30,31822321.99,4.45
11435032.58,3120654.31,31844888.67,4.29
11396879.27,3039354.97,31742477.81,5.04
11326707.47,3010264.41,31417377.89,4.92
11193876.44,2939523.11,31093121.54,3.94
8990809.76,1965543.16,24955437.87,3.29
10004072.44,2468108.14,28945574.87,1.08
