Activos,Tasa de cambio porcentual
43544.314,NA
45236.496,3.89
49585.933,9.61
48648.288,-1.89
50067.432,2.92
51243.797,2.35
52347.983,2.15
50301.95,-3.91
51435.92,2.25
51962.117,1.02
59168.045,13.87
57372.04,-3.04
61820.225,7.75
63075.552,2.03
68277.57,8.25
65042.546,-4.74
66577.694,2.36
68093.899,2.28
73023.059,7.24
75697.98,3.66
78186.019,3.29
79691.78,1.93
85109.854,6.80
85057.44,-0.06
87154.651,2.47
90716.703,4.09
94581.445,4.26
93078.291,-1.59
94824.271,1.88
95908.991,1.14
103438.257,7.85
101084.4,-2.28
104402.678,3.28
107136.275,2.62
115001.121,7.34
111836.265,-2.75
116151.807,3.86
134911.371,16.15
148400.611,10.00
140653.037,-5.22
150043.739,6.68
156494.173,4.30
168226.751,7.50
